Model,Elo
0,1000.0
1,1391.0322629770249
2,1455.1634882052742
3,1430.675512496961
4,1453.8183972363972
5,1512.2458697268896
6,1521.5763058344307
7,1547.550977008151
8,1551.5331118267782
9,1546.3571078569237
10,1586.0909845522385
11,1561.0335354092108
12,1562.8422960143541
13,1564.0711385358768
14,1581.7873899213328
15,1579.8179733047605
16,1579.6600554938736
17,1575.6145606011164
18,1580.4491023697192
19,1621.3560717003024
20,1600.668866295487
21,1600.8200689185865
22,1608.8457744662542
23,1597.5592496699137
24,1620.7735727201934
25,1603.3085008718444
26,1615.7980716657444
27,1626.9329811981174
28,1627.6534015602906
29,1636.9422453797595
30,1629.4506775424281
31,1628.5167635733078
32,1634.739805466971
33,1606.9815760515094
34,1641.6062352084975
35,1676.849724813902
36,1682.2758090167024
37,1658.7816539025603
38,1638.5006526225814
39,1653.679607655457
40,1632.0294375164049
41,1658.4380286353849
42,1632.2438451878495
43,1658.9190599014225
44,1655.1311011924026
45,1638.9957174239953
46,1647.8438526580876
47,1645.4677503281123
48,1651.531554047403
49,1664.8723863571022
50,1671.5251693597925
51,1663.1663559008834
52,1667.594406314769
53,1666.3026039890215
54,1665.2131484374927
55,1679.7342985447199
56,1650.8372462517127
57,1683.1436671053234
58,1675.1683021090078
59,1672.403651051036
60,1665.2131484374927
61,1680.0021596149209
62,1681.005935849324
63,1684.610521560498
64,1680.7383702483246
65,1656.9930703459588
66,1662.551270227437
67,1679.399360524008
68,1678.3267193486265
69,1687.935930307724
70,1698.1755149228777
71,1663.7809553722457
72,1678.460869810881
73,1686.3411625021904
74,1686.1416322970429
75,1669.9009238671415
76,1672.2685597580803
77,1690.9191987726765
78,1693.8277190006982
79,1684.610521560498
80,1689.5281150897176
81,1680.6045580480172
82,1698.0440194054977
83,1684.2106965035878
84,1679.5333506513434
85,1692.7049430139327
86,1696.7940250832792
87,1682.8767199425547
88,1705.7110425057804
89,1699.2925970549973
90,1698.1755149228777
91,1713.1350838650596
92,1707.1471590240626
93,1705.1230515038837
94,1709.0376804693738
95,1708.9073909842273
96,1721.5515553212902
97,1695.7402815421099
98,1711.2505749426855
99,1713.394807118189
100,1721.6806620309205
101,1707.0819174361018
102,1717.4142485628186
103,1718.9670988689809
104,1710.469987011339
105,1713.070145210851
106,1718.190881704645
107,1738.9563620136043
108,1712.9402584705153
109,1711.9007088382677
110,1724.5827352319147
111,1727.6082177612839
112,1725.7420864224296
113,1731.0776824164832
114,1753.2340628957345
115,1736.3336138795853
116,1746.86986335938
117,1749.7355066918303
118,1741.9589909371307
119,1753.0433360184693
120,1759.395148101878
121,1756.1571524234394
122,1761.8694798823458
123,1764.9129531748479
124,1760.3469861427407
125,1774.9201727438956
126,1778.1480165225653
127,1772.8311155656643
128,1779.793355181095
129,1759.1412868285884
130,1758.9508802190012
131,1773.8440444025614
132,1774.4137725353776
133,1765.9904104098982
134,1766.9409343857067
135,1794.349556810107
136,1808.6133394765652
137,1801.5082526467709
138,1780.3628715225727
139,1771.4381561349346
140,1795.9326838783327
141,1788.842314045651
142,1795.7426916342865
143,1792.4501912648425
144,1792.3235802901168
145,1797.5161483307388
146,1784.8555574439856
147,1809.3118257479614
148,1809.1213164042163
149,1810.0104455080996
150,1809.8198994031945
151,1821.6558006541131
152,1830.6648416152238
153,1833.6764077807936
154,1840.7438974671522
155,1847.3240548654005
156,1849.0705641624847
157,1851.402492047794
158,1854.907633169075
159,1850.8191553821955
160,1862.0111444466986
161,1828.041391518286
162,1841.9675693299332
163,1830.408748646406
164,1830.280714246891
165,1828.1053391537785
166,1840.4220277868226
167,1836.6927383616808
168,1831.049041831305
169,1858.1612631949376
170,1836.3073993017906
171,1847.453355831432
172,1846.2254423636373
173,1860.1173597126244
174,1888.0635001986386
175,1884.386716755654
176,1890.8810290317379
177,1878.9307728660874
178,1888.3314649667418
179,1880.989854663249
180,1871.8549644358136
181,1903.945741864848
182,1901.3573973236362
183,1901.4934226130954
184,1894.1792826952865
185,1904.4917070627644
186,1902.5824344734156
187,1909.4910096145204
188,1918.1278275093089
189,1913.0718661796463
190,1937.2936525222085
191,1931.033101038256
192,1931.5997727213899
193,1912.5888457631227
194,1901.5614436599503
195,1906.268661622972
196,1892.4276707407794
197,1918.0583323273718
198,1925.884217526429
199,1933.1606329326062
200,1946.2941178029514
201,1928.8417884954126
202,1930.2547159086375
203,1935.7941556041428
204,1935.2238379753967
205,1937.722727227293
206,1944.84517858021
207,1932.5926188075505
208,1958.1633114304
209,1949.0567522526385
210,1960.0913115962076
211,1956.6108867342928
212,1964.1171407890317
213,1956.3894584549362
214,1964.4914007636057
215,1976.7618886647692
216,1975.8430082493405
217,1974.162652063672
218,1975.8430082493405
219,2005.8972577882373
220,2007.2845980915313
221,1996.4631324771747
222,2006.6311924761262
223,2002.407199739468
224,2011.8031844953953
225,1979.2203730663773
226,1978.5277185091836
227,1970.3637659043097
228,1971.121340557394
229,1975.3841850619233
230,1968.0221556232827
231,1983.1635834325816
232,1986.9819902400964
233,2004.1082588372014
234,1965.315680631406
235,1981.923139298359
236,2001.5994162729817
237,1993.2816268235738
238,1994.5516369339553
239,2006.957775000512
240,2007.3663415341389
241,2009.0864563756961
242,2005.8157841097302
243,2034.3632894480534
244,2025.7370406900202
245,2006.6311924761262
246,2028.9073433665449
247,2035.4984583887024
248,2037.0756334518128
249,2049.4758635616154
250,2051.2938002460623
251,2053.0290793465892
252,2058.655996329833
253,2046.7653308647264
254,2061.1745541412733
255,2052.388823899759
256,2055.9701535342615
